# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.12 114.0976238 0.8420116669 642.221186 642.221186 848.3598139 957.8302952 0.04805241637 109.4692887 296.2044401 3.906573563 -1073.137762
0.125 118.8896989 0.9874077659 632.538765 632.538765 847.6517116 959.0168536 0.04856726925 111.3639696 300.2083982 3.939550623 -1084.088844
0.13 123.6879615 1.151682111 623.0323055 623.0323055 847.079339 960.3049512 0.0490791464 113.2244591 304.1044054 3.949440172 -1094.567516
0.135 128.4929143 1.335578152 613.6992112 613.6992112 846.6333575 961.6925365 0.0495948731 115.0580442 307.8985544 3.942701275 -1104.553423
0.14 133.305049 1.539781269 604.5370116 604.5370116 846.3053984 963.1773589 0.05011988752 116.8708434 311.5963874 3.924316442 -1114.03743
0.145 138.124846 1.764928667 595.543347 595.543347 846.0880334 964.7570667 0.05065842938 118.6679331 315.2029721 3.898040834 -1123.019619
0.15 142.9527738 2.011618002 586.7159545 586.7159545 845.9747262 966.4292788 0.05121371295 120.4534687 318.7229646 3.866654972 -1131.507563
0.155 147.789289 2.280414609 578.0526543 578.0526543 845.9597703 968.1916364 0.05178808252 122.2307979 322.1606599 3.832186657 -1139.514838
0.16 152.6348366 2.571857308 569.5513375 569.5513375 846.0382191 970.0418368 0.05238315006 124.0025649 325.5200344 3.796092621 -1147.059728
0.165 157.4898501 2.886462851 561.2099544 561.2099544 846.20581 971.9776542 0.05299991568 125.7708061 328.8047814 3.759401524 -1154.164127
0.17 162.3547522 3.22472914 553.0265035 553.0265035 846.4588889 973.9969493 0.05363887179 127.5370368 332.018341 3.722823979 -1160.852581
0.175 167.2299553 3.587137352 544.9990214 544.9990214 846.7943349 976.0976722 0.05430009245 129.3023276 335.1639258 3.68683607 -1167.151481
0.18 172.1158614 3.974153149 537.125574 537.125574 847.2094886 978.2778586 0.05498330955 131.0673739 338.2445427 3.651742205 -1173.08837
0.185 177.0128632 4.38622712 529.4042475 529.4042475 847.7020849 980.5356232 0.05568797731 132.8325554 341.2630119 3.617722201 -1178.691375
0.19 181.9213439 4.823794626 521.8331413 521.8331413 848.2701902 982.8691502 0.05641332676 134.59799 344.221984 3.584866427 -1183.988717
0.195 186.841678 5.28727518 514.4103613 514.4103613 848.9121466 985.276683 0.05715841156 136.363579 347.1239542 3.553201977 -1189.008326
0.2 191.7742312 5.777071503 507.1340135 507.1340135 849.6265206 987.7565137 0.05792214657 138.1290479 349.9712755 3.522712114 -1193.777523
0.205 196.7193609 6.293568345 500.0021992 500.0021992 850.4120577 990.3069717 0.0587033402 139.8939807 352.7661699 3.493350672 -1198.322765
