# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.275 272.8856986 25.4364719 411.1635773 411.1635773 877.6957745 1084.807893 0.1420036348 207.1114879 377.2241752 2.894225516 -1100.729023
0.28 278.3211238 26.7025709 405.6344529 405.6344529 879.8852011 1089.370338 0.1443169455 209.484514 379.1552943 2.885032651 -1108.804388
0.285 283.7794823 28.00508413 400.2233858 400.2233858 882.1556582 1093.980935 0.1465899794 211.8246601 381.0608539 2.875525775 -1117.001703
0.29 289.2610109 29.3440627 394.9286166 394.9286166 884.5050333 1098.638185 0.148822847 214.1325419 382.9418129 2.865709602 -1125.312122
0.295 294.7659393 30.71952251 389.7483396 389.7483396 886.9311712 1103.340548 0.1510157232 216.4087739 384.7990797 2.855590954 -1133.727228
0.3 300.294489 32.13144485 384.6807063 384.6807063 889.4318795 1108.086446 0.1531688431 218.6539694 386.6335152 2.845178553 -1142.23901
0.305 305.8468736 33.57977721 379.7238286 379.7238286 892.0049341 1112.874265 0.1552824983 220.8687398 388.4459349 2.834482818 -1150.839839
0.31 311.4232988 35.0644342 374.8757834 374.8757834 894.6480849 1117.702364 0.1573570321 223.0536941 390.2371116 2.823515649 -1159.522446
0.315 317.0239616 36.58529868 370.1346164 370.1346164 897.3590622 1122.56908 0.1593928362 225.2094385 392.0077777 2.812290226 -1168.279909
0.32 322.6490511 38.14222305 365.4983463 365.4983463 900.1355818 1127.472732 0.161390346 227.3365757 393.7586272 2.800820807 -1177.105633
0.325 328.2987477 39.73503054 360.9649695 360.9649695 902.9753518 1132.411625 0.1633500371 229.4357045 395.490318 2.78912253 -1185.993337
0.33 333.9732233 41.36351674 356.5324639 356.5324639 905.8760776 1137.384061 0.1652724212 231.5074191 397.2034736 2.777211233 -1194.937045
0.335 339.6726414 43.02745115 352.198794 352.198794 908.8354682 1142.388336 0.1671580422 233.5523087 398.8986851 2.765103276 -1203.931068
0.34 345.3971569 44.72657873 347.9619144 347.9619144 911.851241 1147.422752 0.169007473 235.5709566 400.5765133 2.752815378 -1212.970001
0.345 351.1469163 46.46062159 343.8197744 343.8197744 914.9211275 1152.485617 0.1708213115 237.5639399 402.2374898 2.740364464 -1222.048708
0.35 356.9220577 48.22928067 339.7703222 339.7703222 918.0428781 1157.575252 0.1726001774 239.5318292 403.8821191 2.727767531 -1231.162315
0.355 362.7227107 50.03223741 335.8115084 335.8115084 921.2142665 1162.689995 0.1743447087 241.4751874 405.5108798 2.715041519 -1240.306202
0.36 368.5489967 51.8691554 331.94129 331.94129 924.433094 1167.8282 0.1760555592 243.3945699 407.1242266 2.702203198 -1249.475996
0.365 374.4010291 53.73968212 328.1576339 328.1576339 927.6971937 1172.98825 0.177733395 245.2905238 408.7225908 2.68926907 -1258.667559
0.37 380.278913 55.6434505 324.4585203 324.4585203 931.0044339 1178.16855 0.179378892 247.1635878 410.3063827 2.676255284 -1267.876984
0.375 386.1827457 57.58008055 320.8419456 320.8419456 934.3527212 1183.367537 0.1809927333 249.0142912 411.875992 2.663177556 -1277.100587
0.38 392.1126169 59.5491809 317.3059255 317.3059255 937.7400036 1188.583678 0.1825756069 250.8431544 413.4317893 2.650051112 -1286.3349
0.385 398.0686086 61.55035031 313.8484976 313.8484976 941.1642729 1193.815478 0.1841282032 252.650688 414.9741274 2.636890628 -1295.57666
0.39 404.0507953 63.58317907 310.4677239 310.4677239 944.623567 1199.061473 0.1856512133 254.4373927 416.503342 2.623710196 -1304.822807
0.395 410.0592446 65.64725041 307.1616928 307.1616928 948.1159717 1204.320241 0.1871453269 256.2037593 418.0197532 2.610523285 -1314.070474
0.4 416.0940167 67.74214177 303.928521 303.928521 951.639622 1209.590396 0.1886112306 257.9502681 419.5236657 2.597342718 -1323.31698
0.405 422.1551653 69.86742601 300.7663558 300.7663558 955.1927038 1214.870596 0.1900496065 259.6773893 421.0153707 2.584180656 -1332.559822
0.41 428.2427373 72.02267263 297.673376 297.673376 958.7734544 1220.159536 0.1914611305 261.3855824 422.4951458 2.571048589 -1341.79667
0.415 434.3567731 74.20744877 294.6477934 294.6477934 962.3801638 1225.455956 0.1928464715 263.0752963 423.9632562 2.55795733 -1351.025358
0.42 440.4973073 76.42132027 291.6878543 291.6878543 966.0111743 1230.758637 0.1942062898 264.7469695 425.4199558 2.544917017 -1360.243877
0.425 446.664368 78.66385259 288.7918398 288.7918398 969.6648814 1236.066401 0.1955412364 266.4010298 426.8654871 2.531937124 -1369.450369
0.43 452.8579778 80.93461169 285.9580672 285.9580672 973.3397338 1241.378115 0.1968519522 268.0378943 428.3000826 2.519026466 -1378.643121
0.435 459.0781539 83.23316476 283.18489 283.18489 977.0342326 1246.692687 0.1981390669 269.6579698 429.7239651 2.506193216 -1387.820554
0.44 465.3249077 85.55908103 280.4706989 280.4706989 980.7469317 1252.009065 0.1994031988 271.2616523 431.137348 2.493444919 -1396.981222
0.445 471.5982459 87.91193237 277.8139216 277.8139216 984.4764369 1257.326243 0.2006449542 272.8493278 432.5404365 2.480788517 -1406.1238
0.45 477.8981699 90.29129391 275.2130233 275.2130233 988.2214053 1262.643253 0.2018649265 274.4213718 433.9334277 2.468230364 -1415.247083
0.455 484.2246766 92.69674459 272.6665067 272.6665067 991.9805446 1267.959167 0.2030636967 275.9781497 435.3165108 2.455776253 -1424.349973
0.46 490.5777582 95.12786759 270.1729119 270.1729119 995.7526122 1273.2731 0.204241832 277.5200169 436.6898683 2.443431436 -1433.43148
0.465 496.9574028 97.58425084 267.730816 267.730816 999.5364144 1278.584201 0.2053998869 279.0473192 438.0536756 2.431200652 -1442.490711
0.47 503.3635942 100.0654873 265.3388333 265.3388333 1003.330805 1283.891663 0.206538402 280.5603925 439.4081021 2.419088149 -1451.526868
0.475 509.7963121 102.5711754 262.9956147 262.9956147 1007.134684 1289.194711 0.2076579043 282.0595632 440.753311 2.40709771 -1460.539239
0.48 516.2555327 105.1009193 260.6998472 260.6998472 1010.946999 1294.492608 0.2087589075 283.5451487 442.0894599 2.395232678 -1469.527194
0.485 522.7412284 107.6543289 258.4502537 258.4502537 1014.766739 1299.784654 0.2098419114 285.0174571 443.4167011 2.383495982 -1478.490181
0.49 529.2533684 110.2310206 256.2455922 256.2455922 1018.592938 1305.070182 0.2109074026 286.4767876 444.7351818 2.371890159 -1487.427721
0.495 535.7919183 112.8306168 254.0846555 254.0846555 1022.424671 1310.348556 0.2119558541 287.9234308 446.0450447 2.360417379 -1496.339401
0.5 542.356841 115.4527465 251.9662704 251.9662704 1026.261055 1315.619175 0.2129877258 289.357669 447.3464277 2.349079468 -1505.22487
0.505 548.9480962 118.0970454 249.8892972 249.8892972 1030.101244 1320.881469 0.2140034643 290.779776 448.6394646 2.337877931 -1514.083839
0.51 555.5656409 120.7631557 247.8526289 247.8526289 1033.944431 1326.134895 0.2150035035 292.1900176 449.924285 2.326813973 -1522.916071
0.515 562.2094295 123.4507264 245.8551903 245.8551903 1037.789847 1331.378944 0.2159882645 293.588652 451.2010149 2.31588852 -1531.721381
0.52 568.8794139 126.1594133 243.895938 243.895938 1041.636757 1336.613129 0.2169581561 294.9759297 452.4697764 2.30510224 -1540.49963
0.525 575.5755436 128.8888788 241.9738589 241.9738589 1045.484461 1341.836995 0.2179135746 296.3520936 453.7306884 2.294455561 -1549.250722
0.53 582.2977659 131.6387924 240.0879698 240.0879698 1049.332292 1347.05011 0.2188549046 297.7173798 454.9838664 2.283948689 -1557.974604
0.535 589.0460261 134.40883 238.2373166 238.2373166 1053.179614 1352.252067 0.219782519 299.0720171 456.2294226 2.273581626 -1566.671258
0.54 595.8202674 137.1986745 236.4209737 236.4209737 1057.025823 1357.442485 0.220696779 300.4162278 457.4674665 2.263354186 -1575.340699
0.545 602.6204311 140.0080154 234.638043 234.638043 1060.870343 1362.621003 0.2215980351 301.7502275 458.6981046 2.25326601 -1583.982976
0.55 609.446457 142.8365488 232.8876533 232.8876533 1064.712627 1367.787283 0.2224866267 303.0742254 459.9214407 2.243316583 -1592.598166
0.555 616.298283 145.6839774 231.1689596 231.1689596 1068.552156 1372.94101 0.2233628826 304.3884248 461.1375759 2.233505246 -1601.18637
0.56 623.1758457 148.5500104 229.4811423 229.4811423 1072.388436 1378.081886 0.2242271214 305.6930228 462.3466091 2.223831207 -1609.747717
0.565 630.07908 151.4343633 227.8234063 227.8234063 1076.220998 1383.209634 0.2250796517 306.9882108 463.5486364 2.214293557 -1618.282354
0.57 637.0079197 154.3367581 226.1949806 226.1949806 1080.049398 1388.323996 0.2259207726 308.2741747 464.7437521 2.204891279 -1626.79045
0.575 643.9622973 157.2569227 224.5951176 224.5951176 1083.873214 1393.42473 0.2267507734 309.5510947 465.9320479 2.195623259 -1635.272192
0.58 650.9421439 160.1945915 223.0230918 223.0230918 1087.692047 1398.511613 0.2275699346 310.8191461 467.1136137 2.186488298 -1643.727782
0.585 657.94739 163.1495047 221.4782001 221.4782001 1091.505518 1403.584435 0.2283785276 312.0784991 468.2885371 2.177485117 -1652.157437
0.59 664.9779645 166.1214083 219.9597602 219.9597602 1095.313269 1408.643005 0.2291768155 313.3293187 469.4569041 2.16861237 -1660.561386
0.595 672.033796 169.1100543 218.4671106 218.4671106 1099.114963 1413.687143 0.2299650529 314.5717655 470.6187985 2.15986865 -1668.939872
0.6 679.1148116 172.1152002 216.9996096 216.9996096 1102.910278 1418.716686 0.2307434863 315.8059953 471.7743025 2.151252495 -1677.293147
0.605 686.2209382 175.1366092 215.5566347 215.5566347 1106.698912 1423.731483 0.2315123546 317.0321597 472.9234965 2.142762398 -1685.62147
0.61 693.3521017 178.1740498 214.1375822 214.1375822 1110.48058 1428.731396 0.232271889 318.2504057 474.0664593 2.134396812 -1693.925111
0.615 700.5082272 181.2272959 212.7418666 212.7418666 1114.255012 1433.716298 0.2330223136 319.4608765 475.203268 2.126154155 -1702.204345
0.62 707.6892394 184.2961266 211.3689196 211.3689196 1118.021956 1438.686074 0.2337638452 320.663711 476.3339982 2.118032818 -1710.459452
0.625 714.8950625 187.3803261 210.0181902 210.0181902 1121.781172 1443.640622 0.2344966941 321.8590444 477.4587239 2.110031166 -1718.69072
0.63 722.1256201 190.4796836 208.6891434 208.6891434 1125.532435 1448.579847 0.2352210637 323.0470082 478.5775177 2.102147547 -1726.898438
0.635 729.3808353 193.593993 207.3812605 207.3812605 1129.275534 1453.503667 0.2359371513 324.2277301 479.690451 2.094380294 -1735.082899
0.64 736.660631 196.7230532 206.0940379 206.0940379 1133.010271 1458.412007 0.2366451478 325.4013345 480.7975934 2.086727727 -1743.2444
0.645 743.9649295 199.8666675 204.8269869 204.8269869 1136.73646 1463.304802 0.2373452385 326.5679422 481.8990134 2.079188162 -1751.383238
0.65 751.293653 203.0246438 203.5796332 203.5796332 1140.453926 1468.181995 0.2380376026 327.727671 482.9947784 2.071759909 -1759.499712
0.655 758.6467234 206.1967944 202.3515164 202.3515164 1144.162506 1473.043539 0.238722414 328.8806354 484.0849543 2.064441276 -1767.594124
0.66 766.0240622 209.382936 201.1421897 201.1421897 1147.862049 1477.889391 0.2393998413 330.0269468 485.1696059 2.057230576 -1775.666772
0.665 773.4255911 212.5828893 199.951219 199.951219 1151.552411 1482.719519 0.2400700477 331.1667136 486.2487966 2.050126124 -1783.717957
0.67 780.8512312 215.7964791 198.7781831 198.7781831 1155.233461 1487.533896 0.2407331916 332.3000417 487.322589 2.04312624 -1791.747979
0.675 788.3009037 219.0235344 197.6226728 197.6226728 1158.905076 1492.332501 0.2413894265 333.4270338 488.3910445 2.036229256 -1799.757136
0.68 795.7745299 222.2638878 196.4842908 196.4842908 1162.56714 1497.11532 0.2420389013 334.5477902 489.4542232 2.029433511 -1807.745725
0.685 803.2720306 225.5173758 195.3626511 195.3626511 1166.219548 1501.882345 0.2426817605 335.6624084 490.5121843 2.022737358 -1815.714042
0.69 810.793327 228.7838387 194.2573788 194.2573788 1169.862202 1506.633574 0.243318144 336.7709838 491.564986 2.016139162 -1823.662381
0.695 818.33834 232.0631202 193.1681097 193.1681097 1173.495012 1511.369008 0.2439481878 337.8736089 492.6126855 2.009637304 -1831.591032
0.7 825.9069908 235.3550676 192.0944898 192.0944898 1177.117895 1516.088655 0.2445720238 338.9703741 493.655339 2.003230181 -1839.500286
0.705 833.4992003 238.6595315 191.0361752 191.0361752 1180.730776 1520.792527 0.2451897798 340.0613677 494.6930018 1.996916204 -1847.390429
0.71 841.1148898 241.9763658 189.9928316 189.9928316 1184.333583 1525.480642 0.2458015801 341.1466755 495.725728 1.990693806 -1855.261744
0.715 848.7539805 245.3054278 188.964134 188.964134 1187.926256 1530.153019 0.2464075453 342.2263813 496.7535713 1.984561436 -1863.114512
0.72 856.4163938 248.6465777 187.9497666 187.9497666 1191.508735 1534.809683 0.2470077925 343.3005669 497.776584 1.978517562 -1870.949011
0.725 864.1020512 251.999679 186.9494221 186.9494221 1195.080971 1539.450662 0.2476024352 344.3693121 498.794818 1.972560674 -1878.765516
0.73 871.8108743 255.3645981 185.962802 185.962802 1198.642917 1544.07599 0.2481915839 345.4326947 499.808324 1.966689281 -1886.564298
0.735 879.542785 258.7412041 184.9896158 184.9896158 1202.194532 1548.685699 0.2487753458 346.4907908 500.817152 1.960901913 -1894.345624
0.74 887.2977053 262.1293691 184.0295809 184.0295809 1205.73578 1553.27983 0.2493538252 347.5436745 501.8213512 1.955197121 -1902.109758
0.745 895.0755574 265.5289679 183.0824225 183.0824225 1209.26663 1557.858423 0.2499271232 348.5914183 502.8209702 1.949573478 -1909.856963
0.75 902.8762637 268.9398781 182.1478732 182.1478732 1212.787056 1562.421522 0.2504953383 349.6340929 503.8160565 1.94402958 -1917.587494
0.755 910.6997469 272.3619797 181.2256727 181.2256727 1216.297035 1566.969174 0.2510585662 350.6717674 504.806657 1.938564041 -1925.301605
0.76 918.5459298 275.7951554 180.3155679 180.3155679 1219.796547 1571.501428 0.2516168998 351.7045094 505.7928181 1.933175501 -1932.999546
0.765 926.4147356 279.2392901 179.4173122 179.4173122 1223.285579 1576.018334 0.2521704295 352.7323849 506.774585 1.92786262 -1940.681563
0.77 934.3060877 282.6942715 178.5306657 178.5306657 1226.76412 1580.519947 0.2527192433 353.7554583 507.7520026 1.92262408 -1948.347899
0.775 942.2199097 286.1599893 177.6553948 177.6553948 1230.232161 1585.006321 0.2532634268 354.7737926 508.725115 1.917458587 -1955.998791
0.78 950.1561256 289.6363357 176.7912719 176.7912719 1233.689698 1589.477514 0.2538030631 355.7874496 509.6939655 1.912364866 -1963.634476
0.785 958.1146596 293.123205 175.9380757 175.9380757 1237.13673 1593.933585 0.2543382333 356.7964894 510.658597 1.907341667 -1971.255184
0.79 966.0954363 296.6204936 175.0955902 175.0955902 1240.573259 1598.374595 0.2548690162 357.8009711 511.6190515 1.902387759 -1978.861142
0.795 974.0983806 300.1281001 174.2636054 174.2636054 1243.999289 1602.800605 0.2553954885 358.8009522 512.5753705 1.897501935 -1986.452575
0.8 982.1234175 303.6459252 173.4419163 173.4419163 1247.414826 1607.211678 0.2559177249 359.7964893 513.5275948 1.892683008 -1994.029701
0.805 990.1704726 307.1738716 172.6303236 172.6303236 1250.819882 1611.607881 0.2564357982 360.7876374 514.4757647 1.887929813 -2001.592738
0.81 998.2394716 310.7118436 171.8286326 171.8286326 1254.214466 1615.989278 0.2569497792 361.7744508 515.4199199 1.883241205 -2009.141899
0.815 1006.330341 314.259748 171.036654 171.036654 1257.598595 1620.355937 0.2574597369 362.7569821 516.3600994 1.878616062 -2016.677392
0.82 1014.443007 317.8174929 170.2542029 170.2542029 1260.972284 1624.707926 0.2579657385 363.7352833 517.2963418 1.874053281 -2024.199422
0.825 1022.577396 321.3849884 169.4810992 169.4810992 1264.335551 1629.045314 0.2584678496 364.7094051 518.2286849 1.86955178 -2031.708192
