# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.63 705.7406719 181.3792273 174.8620444 174.8620444 1146.9759 1408.126824 0.1242656935 261.1504245 500.6848393 2.068879787 -1567.867725
0.635 712.7930981 184.360732 173.7325669 173.7325669 1150.895858 1412.840677 0.1244150236 261.9443211 501.977378 2.059919189 -1572.767439
0.64 719.8690488 187.354363 172.6217269 172.6217269 1154.803847 1417.536581 0.124560317 262.7322368 503.2636209 2.051126326 -1577.639386
0.645 726.9684341 190.359952 171.5290505 171.5290505 1158.69977 1422.214552 0.1247016995 263.5142867 504.543641 2.042497222 -1582.483773
0.65 734.0911644 193.3773354 170.4540794 170.4540794 1162.583539 1426.874615 0.1248392922 264.2905826 505.8175102 2.034027995 -1587.300811
0.655 741.2371504 196.406354 169.3963704 169.3963704 1166.455075 1431.516801 0.1249732121 265.0612333 507.0852988 2.025714862 -1592.090716
0.66 748.4063027 199.4468529 168.3554945 168.3554945 1170.314309 1436.141145 0.1251035721 265.8263444 508.3470761 2.017554133 -1596.853712
0.665 755.5985322 202.4986813 167.3310367 167.3310367 1174.161181 1440.747689 0.1252304813 266.5860186 509.60291 2.009542212 -1601.590026
0.67 762.81375 205.5616924 166.3225952 166.3225952 1177.995637 1445.336481 0.125354045 267.340356 510.8528672 2.001675594 -1606.299887
0.675 770.0518675 208.6357434 165.329781 165.329781 1181.817631 1449.907572 0.1254743647 268.0894537 512.0970132 1.993950865 -1610.98353
0.68 777.3127963 211.7206952 164.3522176 164.3522176 1185.627125 1454.461017 0.1255915385 268.8334062 513.3354124 1.986364696 -1615.641192
0.685 784.5964484 214.8164123 163.38954 163.38954 1189.424087 1458.996877 0.1257056612 269.5723056 514.5681281 1.978913848 -1620.273111
0.69 791.9027359 217.9227627 162.4413951 162.4413951 1193.208491 1463.515215 0.1258168244 270.3062414 515.7952225 1.971595163 -1624.879528
0.695 799.2315714 221.0396179 161.5074403 161.5074403 1196.980317 1468.0161 0.1259251163 271.0353006 517.0167566 1.964405569 -1629.460686
0.7 806.5828679 224.1668526 160.587344 160.587344 1200.739552 1472.499601 0.1260306223 271.7595683 518.2327905 1.957342072 -1634.016826
0.705 813.9565386 227.3043445 159.6807844 159.6807844 1204.486186 1476.965792 0.126133425 272.4791268 519.4433834 1.950401757 -1638.548194
0.71 821.3524971 230.4519746 158.7874499 158.7874499 1208.220214 1481.414749 0.126233604 273.1940567 520.6485933 1.943581787 -1643.055033
0.715 828.7706575 233.6096268 157.907038 157.907038 1211.941639 1485.846551 0.1263312362 273.9044362 521.8484772 1.936879398 -1647.537587
0.72 836.2109342 236.7771879 157.0392556 157.0392556 1215.650464 1490.261281 0.1264263961 274.6103416 523.0430913 1.930291901 -1651.996101
0.725 843.673242 239.9545473 156.1838182 156.1838182 1219.346698 1494.65902 0.1265191555 275.3118474 524.232491 1.923816677 -1656.430818
0.73 851.1574962 243.1415974 155.3404497 155.3404497 1223.030355 1499.039854 0.126609584 276.0090259 525.4167305 1.917451176 -1660.84198
0.735 858.6636125 246.3382328 154.5088824 154.5088824 1226.701452 1503.403871 0.1266977488 276.7019477 526.5958634 1.911192918 -1665.229831
0.74 866.191507 249.544351 153.6888564 153.6888564 1230.360007 1507.75116 0.1267837148 277.3906816 527.7699421 1.905039485 -1669.594611
0.745 873.7410963 252.7598517 152.8801191 152.8801191 1234.006045 1512.081809 0.1268675448 278.0752948 528.9390186 1.898988526 -1673.936559
0.75 881.3122975 255.9846371 152.0824256 152.0824256 1237.639592 1516.395913 0.1269492996 278.7558527 530.1031438 1.89303775 -1678.255914
0.755 888.905028 259.2186115 151.295538 151.295538 1241.260676 1520.693562 0.1270290379 279.432419 531.2623677 1.887184928 -1682.552913
0.76 896.5192059 262.4616815 150.5192249 150.5192249 1244.86933 1524.974852 0.1271068165 280.1050561 532.4167398 1.881427891 -1686.827791
0.765 904.1547495 265.7137561 149.7532618 149.7532618 1248.465587 1529.239876 0.1271826905 280.7738247 533.5663087 1.875764523 -1691.080781
