# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.355 356.3895038 57.03253867 262.541323 262.541323 970.9546182 1164.569134 0.08986704059 193.6138413 418.8943815 3.649626016 -1298.413741
0.36 362.2329063 59.97876208 257.9177143 257.9177143 977.6614872 1172.81019 0.09074226742 195.1480336 420.7169134 3.614787064 -1303.876209
0.365 368.117784 63.00495733 253.4488437 253.4488437 984.5035155 1181.158195 0.09158728472 196.6540159 422.5247563 3.579818762 -1309.485775
0.37 374.0446563 66.10994438 249.1297102 249.1297102 991.4741963 1189.607029 0.09240232021 198.1321735 424.3183732 3.544844858 -1315.228981
0.375 380.0140123 69.29251173 244.955256 244.955256 998.5671065 1198.150731 0.09318773716 199.5829702 426.0981883 3.509976952 -1321.092593
0.38 386.026312 72.55142816 240.9204077 240.9204077 1005.775943 1206.783527 0.093944014 201.0069344 427.8645913 3.475314524 -1327.063738
0.385 392.0819868 75.88545295 237.0201118 237.0201118 1013.094552 1215.499844 0.09467172532 202.4046462 429.6179399 3.440945216 -1333.130012
0.39 398.1814407 79.29334475 233.2493655 233.2493655 1020.516955 1224.294322 0.09537152436 203.7767262 431.3585633 3.406945327 -1339.279563
0.395 404.3250517 82.77386904 229.6032419 229.6032419 1028.037363 1233.161825 0.09604412725 205.1238253 433.0867654 3.373380446 -1345.50115
0.4 410.5131725 86.3258045 226.0769114 226.0769114 1035.650194 1242.097442 0.09669029881 206.4466159 434.8028268 3.340306187 -1351.784183
0.405 416.7461318 89.94794816 222.6656586 222.6656586 1043.350082 1251.096494 0.09731084002 207.7457838 436.5070079 3.307768977 -1358.11874
0.41 423.0242357 93.6391196 219.3648956 219.3648956 1051.131878 1260.154525 0.09790657697 209.0220221 438.1995508 3.275806867 -1364.49558
0.415 429.3477683 97.39816428 216.1701724 216.1701724 1058.990661 1269.267308 0.09847835139 210.2760252 439.8806815 3.244450341 -1370.906133
0.42 435.7169934 101.223956 213.0771843 213.0771843 1066.92173 1278.430832 0.09902701239 211.5084841 441.5506115 3.213723105 -1377.342491
0.425 442.1321549 105.1153989 210.0817764 210.0817764 1074.920607 1287.641303 0.09955340949 212.7200827 443.2095397 3.183642841 -1383.797386
0.43 448.5934786 109.0714286 207.179947 207.179947 1082.983029 1296.895133 0.1000583868 213.9114941 444.8576536 3.154221915 -1390.264163
0.435 455.1011728 113.0910131 204.3678484 204.3678484 1091.104948 1306.188933 0.1005427782 215.0833785 446.4951307 3.125468041 -1396.736752
0.44 461.6554292 117.1731531 201.6417869 201.6417869 1099.282521 1315.519505 0.1010074031 216.236381 448.1221396 3.097384882 -1403.209638
0.445 468.2564241 121.3168821 198.9982208 198.9982208 1107.512104 1324.883834 0.1014530638 217.3711299 449.7388412 3.069972613 -1409.677824
