# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.14 133.8481724 4.013605531 584.7512727 584.7512727 857.3602286 984.7269856 0.06487081298 127.3657319 309.9750126 3.134378354 -992.6636409
0.145 138.7791762 4.435924102 573.5372307 573.5372307 856.6992634 987.6903469 0.06813446926 130.9900869 313.2568335 3.145411063 -988.9527125
0.15 143.7252372 4.887339461 562.389525 562.389525 856.1743989 990.7505112 0.07142049767 134.5751422 316.4440403 3.158806757 -986.2341539
0.155 148.6868493 5.369431622 551.3102553 551.3102553 855.7892461 993.9114899 0.07472567527 138.1212985 319.5416991 3.174532578 -984.426161
0.16 153.6645278 5.883934535 540.30223 540.30223 855.5481049 997.1778895 0.07804676578 141.6288628 322.5544926 3.192537684 -983.4575188
0.165 158.6588125 6.432746837 529.368982 529.368982 855.4559603 1000.554905 0.08138049544 145.0980452 325.4867689 3.212748929 -983.265948
0.17 163.6702708 7.017941258 518.5147819 518.5147819 855.5184724 1004.048306 0.08472352987 148.5289547 328.3425827 3.235066523 -983.7967563
0.175 168.6995001 7.641772166 507.7446438 507.7446438 855.7419564 1007.664413 0.08807245289 151.921597 331.1257321 3.259359863 -985.0017258
0.18 173.7471308 8.306680684 497.0643246 497.0643246 856.1333502 1011.410064 0.09142374778 155.2758727 333.8397905 3.285463766 -986.8381859
0.185 178.8138288 9.01529673 486.4803115 486.4803115 856.7001702 1015.29257 0.0947737822 158.5915769 336.4881345 3.313175374 -989.2682309
0.19 183.9002974 9.770437313 475.9997978 475.9997978 857.4504493 1019.319657 0.09811879735 161.8684008 339.0739683 3.34225203 -992.2580516
0.195 189.0072797 10.57510041 465.6306423 465.6306423 858.3926588 1023.499385 0.1014549027 165.1059358 341.6003448 3.37241045 -995.7773555
0.2 194.1355595 11.43245383 455.3813125 455.3813125 859.5356119 1027.840067 0.104778077 168.3036792 344.0701831 3.403327486 -999.7988553
0.205 199.2859627 12.34581846 445.260808 445.260808 860.8883468 1032.350152 0.1080841767 171.4610439 346.4862837 3.434642765 -1004.297809
0.21 204.4593575 13.31864573 435.2785643 435.2785643 862.459993 1037.038111 0.1113689521 174.5773699 348.8513406 3.465963375 -1009.251603
0.215 209.6566542 14.35448894 425.4443363 425.4443363 864.2596195 1041.912294 0.1146280721 177.6519394 351.1679504 3.496870682 -1014.639359
0.22 214.8788043 15.45696884 415.7680631 415.7680631 866.2960696 1046.980787 0.1178571573 180.6839951 353.4386195 3.526929195 -1020.44157
0.225 220.1267988 16.62973394 406.2597157 406.2597157 868.5777857 1052.251256 0.121051821 183.67276 355.6657674 3.55569722 -1026.639758
0.23 225.4016654 17.87641641 396.929132 396.929132 871.1126301 1057.73079 0.1242077172 186.6174607 357.8517293 3.582738868 -1033.216146
0.235 230.7044658 19.20058493 387.7858433 387.7858433 873.9077078 1063.425748 0.1273205946 189.5173509 359.998756 3.607636816 -1040.15336
0.24 236.0362911 20.60569603 378.8388991 378.8388991 876.9691984 1069.341613 0.1303863536 192.371736 362.1090116 3.630005073 -1047.434159
0.245 241.3982576 22.09504577 370.0966963 370.0966963 880.3022049 1075.482871 0.1334011048 195.1799971 364.1845706 3.649500982 -1055.041198
0.25 246.7915012 23.67172374 361.5668202 361.5668202 883.9106264 1081.8529 0.1363612266 197.9416136 366.2274141 3.665835652 -1062.95684
0.255 252.2171716 25.33857124 353.2559036 353.2559036 887.7970598 1088.453894 0.1392634178 200.6561831 368.2394254 3.67878216 -1071.163015
0.26 257.6764267 27.09814543 345.1695108 345.1695108 891.9627354 1095.286816 0.1421047443 203.3234384 370.2223856 3.688181007 -1079.64114
