# nB[fm-3], eps[MeVfm-3], p[MeVfm-3], M*_p[MeV], M*_n[MeV], chempo_p[MeV], chempo_n[MeV], xp[], kF_p[MeV], kF_n[MeV], gamma_fixYp[], dchempo_delta_dYp[MeV]
0.305 304.6541181 30.10764234 350.5407361 350.5407361 879.5320813 1097.579542 0.149406425 218.0468622 389.3445645 2.834853386 -1149.600794
0.31 310.1528707 31.44475888 345.8736889 345.8736889 881.7702708 1101.927837 0.1513056811 220.1569736 391.1690331 2.824036592 -1157.778341
0.315 315.6734579 32.81514787 341.3204239 341.3204239 884.0756372 1106.313034 0.1531641118 222.2368096 392.9736281 2.812736055 -1166.014316
0.32 321.2160595 34.21858235 336.8783087 336.8783087 886.4456272 1110.733256 0.1549823301 224.2870464 394.7590179 2.800989865 -1174.301755
0.325 326.7808457 35.65480586 332.5447102 332.5447102 888.8776881 1115.18662 0.1567609884 226.3083553 396.5258342 2.788835994 -1182.634056
0.33 332.3679778 37.12353479 328.3170001 328.3170001 891.369276 1119.67125 0.1585007738 228.3014023 398.2746738 2.776311983 -1191.004973
0.335 337.9776072 38.62446079 324.1925611 324.1925611 893.9178636 1124.185278 0.1602024027 230.2668471 400.0061009 2.763454682 -1199.408601
0.34 343.6098764 40.15725307 320.1687914 320.1687914 896.5209477 1128.726852 0.1618666168 232.2053415 401.720649 2.750300023 -1207.839363
0.345 349.2649186 41.72156074 316.2431101 316.2431101 899.1760557 1133.294143 0.1634941783 234.1175297 403.418823 2.736882834 -1216.292002
0.35 354.9428577 43.31701503 312.4129613 312.4129613 901.8807513 1137.885351 0.1650858658 236.0040463 405.1011004 2.723236687 -1224.761568
0.355 360.643809 44.94323147 308.6758187 308.6758187 904.6326402 1142.498706 0.1666424707 237.8655165 406.7679336 2.709393779 -1233.24341
0.36 366.3678788 46.59981195 305.0291891 305.0291891 907.4293745 1147.132474 0.1681647937 239.7025551 408.4197511 2.695384844 -1241.733161
0.365 372.115165 48.28634673 301.4706158 301.4706158 910.2686569 1151.784964 0.1696536408 241.515766 410.0569594 2.681239085 -1250.226733
0.37 377.8857569 50.00241628 297.9976817 297.9976817 913.1482439 1156.454522 0.1711098214 243.3057416 411.6799438 2.666984136 -1258.720302
0.375 383.6797359 51.74759311 294.6080121 294.6080121 916.065949 1161.139544 0.1725341443 245.0730624 413.2890703 2.652646039 -1267.2103
0.38 389.4971755 53.5214434 291.2992765 291.2992765 919.019645 1165.838471 0.1739274164 246.8182968 414.8846867 2.638249241 -1275.693407
0.385 395.3381413 55.32352855 288.0691912 288.0691912 922.0072657 1170.549792 0.1752904396 248.5420008 416.4671234 2.623816606 -1284.166534
0.39 401.2026916 57.15340665 284.9155207 284.9155207 925.0268077 1175.272047 0.1766240089 250.2447175 418.0366952 2.60936944 -1292.626821
0.395 407.0908776 59.01063377 281.8360787 281.8360787 928.0763309 1180.003826 0.1779289109 251.9269772 419.5937016 2.594927524 -1301.07162
0.4 413.0027435 60.89476521 278.8287298 278.8287298 931.1539598 1184.743772 0.1792059223 253.5892972 421.1384284 2.580509157 -1309.498489
0.405 418.9383268 62.8053566 275.8913898 275.8913898 934.257883 1189.490576 0.180455808 255.2321817 422.6711482 2.566131208 -1317.905181
0.41 424.8976586 64.74196492 273.0220263 273.0220263 937.3863539 1194.242984 0.1816793202 256.856122 424.1921214 2.551809167 -1326.289635
0.415 430.880764 66.70414942 270.2186594 270.2186594 940.53769 1198.999791 0.1828771977 258.4615961 425.7015968 2.537557211 -1334.649964
0.42 436.8876619 68.69147243 267.4793614 267.4793614 943.7102724 1203.759844 0.1840501645 260.0490693 427.1998126 2.523388258 -1342.984448
0.425 442.918366 70.70350011 264.8022567 264.8022567 946.902545 1208.522038 0.1851989295 261.6189938 428.686997 2.509314035 -1351.291525
0.43 448.9728841 72.73980308 262.185522 262.185522 950.1130138 1213.285319 0.1863241856 263.1718092 430.1633687 2.495345143 -1359.569779
0.435 455.0512193 74.79995703 259.6273856 259.6273856 953.3402455 1218.048681 0.1874266097 264.7079425 431.6291378 2.481491116 -1367.817936
0.44 461.1533695 76.88354318 257.1261268 257.1261268 956.5828664 1222.811165 0.1885068618 266.2278083 433.0845057 2.467760491 -1376.034853
0.445 467.279328 78.99014874 254.6800755 254.6800755 959.839561 1227.571858 0.1895655853 267.7318091 434.5296665 2.454160865 -1384.219508
0.45 473.4290836 81.11936728 252.2876115 252.2876115 963.1090705 1232.329891 0.1906034066 269.2203354 435.9648068 2.440698959 -1392.370997
0.455 479.6026211 83.27079902 249.9471632 249.9471632 966.3901914 1237.08444 0.1916209351 270.693766 437.3901063 2.427380678 -1400.488522
